epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2911,3.7257,3.7485,4.0031,0.00127,0.07963,0.00078,0.0002,4.1954,3.65167,4.26161,0.000659933,0.000659933,0.000659933
2,31.5683,3.04347,3.2215,3.16509,0.07999,0.13917,0.03968,0.01282,2.82981,3.91151,3.06571,0.00131347,0.00131347,0.00131347
3,44.664,2.69114,2.8424,2.72703,0.13974,0.13415,0.07615,0.0268,2.59632,2.93798,2.63488,0.0019538,0.0019538,0.0019538
4,57.4913,2.45667,2.51507,2.4716,0.29795,0.22884,0.18249,0.07,2.41847,2.93848,2.51135,0.0019406,0.0019406,0.0019406
5,70.3622,2.28455,2.33518,2.34115,0.37419,0.31277,0.27616,0.10317,2.22196,2.49593,2.30862,0.0019208,0.0019208,0.0019208
6,83.1373,2.15374,2.13132,2.20304,0.49482,0.35581,0.36561,0.15812,2.05097,2.07114,2.17143,0.001901,0.001901,0.001901
7,96.205,2.05642,2.03434,2.11737,0.45406,0.33214,0.32426,0.1467,2.05665,2.0899,2.15365,0.0018812,0.0018812,0.0018812
8,108.926,1.97153,1.91974,2.03756,0.40633,0.36039,0.32265,0.14593,1.90813,2.1418,2.00257,0.0018614,0.0018614,0.0018614
9,121.931,1.91835,1.85785,1.96338,0.45847,0.35653,0.34808,0.16018,2.01177,2.05009,2.07594,0.0018416,0.0018416,0.0018416
10,134.761,1.85618,1.79739,1.92974,0.55244,0.4462,0.4664,0.22699,1.84256,1.85695,1.92667,0.0018218,0.0018218,0.0018218
11,147.564,1.82704,1.73627,1.89221,0.47823,0.37948,0.3914,0.1913,1.84556,1.89419,1.94916,0.001802,0.001802,0.001802
12,160.336,1.78195,1.69223,1.83803,0.57198,0.47346,0.50423,0.2585,1.73202,1.73436,1.84851,0.0017822,0.0017822,0.0017822
13,173.116,1.75724,1.65912,1.82759,0.38129,0.33501,0.29857,0.15645,1.86882,2.30376,1.99874,0.0017624,0.0017624,0.0017624
14,185.843,1.72705,1.63715,1.80073,0.55083,0.39455,0.41843,0.21222,1.81927,1.93945,1.89864,0.0017426,0.0017426,0.0017426
15,199.78,1.72317,1.61208,1.78285,0.62051,0.47202,0.51958,0.26028,1.75586,1.66758,1.82312,0.0017228,0.0017228,0.0017228
16,213.446,1.69112,1.54507,1.75753,0.62238,0.49067,0.52301,0.26909,1.71566,1.61028,1.8075,0.001703,0.001703,0.001703
17,226.376,1.66654,1.54384,1.74485,0.59809,0.50143,0.53031,0.28343,1.64585,1.59028,1.75695,0.0016832,0.0016832,0.0016832
18,239.308,1.66524,1.55569,1.75448,0.5794,0.48996,0.5115,0.26875,1.67514,1.59522,1.75476,0.0016634,0.0016634,0.0016634
19,252.337,1.65295,1.50332,1.71541,0.64636,0.48644,0.55577,0.30241,1.61178,1.53508,1.70076,0.0016436,0.0016436,0.0016436
20,265.277,1.62474,1.50345,1.70741,0.66311,0.50717,0.55662,0.30289,1.61029,1.50611,1.71247,0.0016238,0.0016238,0.0016238
21,278.153,1.60735,1.4628,1.69042,0.64162,0.5317,0.58324,0.31662,1.6106,1.46713,1.69505,0.001604,0.001604,0.001604
22,291.123,1.60918,1.45295,1.68335,0.65214,0.54376,0.60935,0.34945,1.5142,1.37895,1.63249,0.0015842,0.0015842,0.0015842
23,303.85,1.58548,1.42331,1.67062,0.57097,0.52439,0.53878,0.29512,1.64513,1.48027,1.73687,0.0015644,0.0015644,0.0015644
24,316.728,1.57575,1.41187,1.65976,0.66235,0.54881,0.61234,0.34597,1.52747,1.39516,1.6403,0.0015446,0.0015446,0.0015446
25,329.341,1.56062,1.39853,1.65656,0.60773,0.5495,0.58325,0.32758,1.53862,1.37568,1.63429,0.0015248,0.0015248,0.0015248
